Domain,Word,Definition,TLD
hauhauhali.net,hauhauhali,"to carry to and from, as gossip. ",li
hauhauhili.net,hauhauhili, ,li
haukomo.net,haukomo,"a lua fighting stroke. lit., the blow enters... ",mo
hohopa.net,hohopa,"tall, thin. ",pa
heleuma.net,heleuma,"stone anchor, anchor. ",ma
hikiliimakaounulau.net,hikiliimakaounulau,"star name, perhaps morning star. ",au
hikua.net,hikua,"to throw aimlessly, carelessly. ",ua
helepona.net,helepona,Hebron. ,na
hepekoma.net,hepekoma,week; seven years. ,ma
hiana.net,hiana,"depression or hole, as under water. ",na
hapakolu.net,hapakolu,third; one third. ,lu
hauhaua.net,hauhaua, ,ua
hauwene.net,hauwene,"to cry, tease, nag, fret. ",ne
hikipua.net,hikipua,"to force one's way, as through a crowd or undergrowth. ",ua
hikianakopili.net,hikianakopili,"spittle passed from a dying master, according to the belief that his knowledge was thereby handed on. ",li
hilihua.net,hilihua,to grope here and there. ,ua
hinua.net,hinua, ,ua
hilinehu.net,hilinehu, ,hu
hiluhilu.net,hiluhilu,"elegant, beautiful. ",lu
hanina.net,hanina, ,na
hanunu.net,hanunu,"steep, bent-over, stooped, round-shouldered; stooping. ",nu
hekeheke.net,hekeheke,plump. ,ke
hikimoe.net,hikimoe,"west. lit., come to rest. ",moe
hoakakala.net,hoakakala,bracelet of tusks of hog or dog. ,la
hoehoena.net,hoehoena, ,na
hanakapahu.net,hanakapahu,"smallpox (perhaps short for hana i ka pahu, build the coffin). ",hu
hauone.net,hauone,soft limestone. ,one
hihihiki.net,hihihiki,"to come or go, of many people. ",ki
hilikau.net,hilikau,"mixed, snarled, entangled; to mix, snarl. ",au
hikaua.net,hikaua,"name of an unknown person, used something like so-and-so, usually followed by mā. ",ua
hauene.net,hauene,calcareous earth resembling chalk or plaster. ,ne
hauli.net,hauli,"this word is used idiomatically with lele and hoʻolele, and may be related to mauli. ",li
hauna.net,hauna,"   • unpleasant odor, as of spoiling fish or meat, or volcanic sulphur; 
   • stench; tainted.      ",na
himela.net,himela,"Himalayas. See song, hene₂. ",la
henoheno.net,henoheno,"lovable, sweet. ",no
hilahila.net,hilahila, ,la
haukalima.net,haukalima,"ice cream. lit., creamed (Eng.) ice. ",ma
hehena.net,hehena,"   • insane, raving mad, crazy, possessed; 
   • insanity, madness; 
   • lunatic, maniac.    ",na
heliokalope.net,heliokalope,"introduced, sweet-scented heliotrope (Heliotropium arborescens syn. H. corymbosum). ",pe
hiliau.net,hiliau,in devious ways; to ramble; be indirect. ,au
hiliokalupe.net,hiliokalupe, ,pe
hanauna.net,hanauna,"   • generation; 
   • relative whose relationship was established several generations previously; 
   • ancestry, birth.    ",na
haukau.net,haukau,"choppy, as the sea. ",au
hilikua.net,hilikua,"to lash against, whip. ",ua
hikina.net,hikina,Orient. ,na
hinao.net,hinao,type of pāʻū (no data). ,ao
hanaina.net,hanaina,feeding. ,na
hanakauluna.net,hanakauluna,"name of a star associated with Hanakalauʻai, and Hakalauʻai; all were omens of pestilence or calamity. ",na
hauhau.net,hauhau, ,au
haumanumanu.net,haumanumanu, ,nu
hohani.net,hohani, ,ni
holili.net,holili,"weak, spindly, puny. ",li
heana.net,heana,"corpse, especially of one slain in battle; victim, human sacrifice; carcass (Mat. 24.28) , remains. ",na
hikimua.net,hikimua,"progress, advance; to progress. ",ua
hokahokai.net,hokahokai, ,ai
hananai.net,hananai, ,ai
hanowela.net,hanowela,Hanover. ,la
hapawalu.net,hapawalu,one eighth; eighth part; a coin worth twelve and a half cents; a piece of silver money (Luka 15.8) . ,lu
henehene.net,henehene,"to laugh at, ridicule, mock, tease, snicker, giggle; mockery, laughter. ",ne
holelola.net,holelola,Holy Roller [disparaging and offensive term for a member of a Pentacostal sect]. ,la
hapahaneli.net,hapahaneli,"hundredth part, percentage. ",li
hapahapai.net,hapahapai,"   • to toss up, as a child; 
   • to heave or breathe heavily; 
   • to glorify, praise.    ",ai
hapawai.net,hapawai,"a shellfish, Theodoxus vespertinus. ",ai
hapuee.net,hapuee,a kind of fish. ,ee
haumalu.net,haumalu,quiet. ,lu
hehina.net,hehina,"footrest; any place on which to step or tread; a stepping, treading. ",na
hepela.net,hepela,Hebrew. ,la
haokila.net,haokila,"to be sturdy as steel. lit., iron steel (Eng.). ",la
hapaono.net,hapaono,one sixth. ,no
hinalani.net,hinalani,name of a star. ,ni
hiaala.net,hiaala,"same as the more common hiaʻā, indisposed to sleep, wakeful, sleepless... ",la
hihiawai.net,hihiawai,"the swamp fern (Ceratopteris thalictroides), an edible, somewhat succulent fern, distributed through the tropics. It grows in mud or water, as around taro patches, in tufts about 30 cm high. The fronds are triangular and are finely divided into long, narrow parts. Young fronds are eaten with fresh-water shrimps. ",ai
haohaona.net,haohaona, ,na
helela.net,helela,herald. ,la
helua.net,helua, ,ua
hiohiona.net,hiohiona, ,na
hipopokamu.net,hipopokamu,hippopotamus. ,mu
hohoma.net,hohoma, ,ma
hauhauna.net,hauhauna, ,na
hauhili.net,hauhili, ,li
haulalapa.net,haulalapa,"to blaze, scorch, sear. ",pa
haunone.net,haunone,name of a cold wind. ,one
heleekela.net,heleekela,"the planet Uranus, formerly called Hershel for its discoverer, Sir William Hershel, in 1781. ",la
heumiki.net,heumiki,"beautiful, comely, attractive. ",ki
hihihina.net,hihihina,"redup. and intensifier of hina, to fall. ",na
hiona.net,hiona,"leaning, slanting. ",na
hemahema.net,hemahema,"want, need, necessity; lacking, destitute (Oihk. 22.23) , needy. ",ma
hinaikamalama.net,hinaikamalama,"vague accounts (HM 214) mention this goddess as being born in the undersea land Kahikihonuakele (wet land Kahiki), and as floating on the sea and becoming a gourd bailer—Hinaikekā (Hina in the bailer) (KL. 235). In some stories she makes tapa in the moon (HM 220). She was also called Hinahanaakamalama (Hina foster-child of the moon), the name of Queen Emma's home in Nuʻu-anu Valley, Honolulu. lit., Hina in the moon. see ʻAikanaka₃; Hema. ",ma
hanupau.net,hanupau,"a disease, perhaps pneumonia. ",au
hauhana.net,hauhana,"lashing, as of adze to handle; to lash. (hau₃ + -hana, nominalizer) ",na
hekikili.net,hekikili, ,li
heluhana.net,heluhana,"factor, as in arithmetic. ",na
hanuhanu.net,hanuhanu, ,nu
haukamumu.net,haukamumu, ,mu
hehipuahala.net,hehipuahala,"rain name associated with Poʻo-kū, Kauaʻi. lit., stepping upon pandanus flowers. ",la
hihiki.net,hihiki, ,ki
haumanu.net,haumanu, ,nu
heiau.net,heiau,"pre-Christian place of worship, shrine; some heiau were elaborately constructed stone platforms, others simple earth terraces. Many are preserved today. Several types are listed below. In (Isa. 15.2) , heiau is a high place of worship. ",au
huluhulu.net,huluhulu,"body hair, hair of eyelashes, fleece (Lunk. 6.37) , wool, fur; hairy. ",lu
hulupeu.net,hulupeu, ,eu
humuna.net,humuna,"sewing, seam. ",na
hopena.net,hopena,"result, conclusion, sequel, ending, destiny, fate, consequence, effect, last. ",na
ihola.net,ihola,directional and reflexive pair. iho + demon. -la. ,la
kaekae.net,kaekae,"   • smooth, polished; to rub smooth, polish, finish
   • perfect, as a new canoe without knots or knobs; 
   • young, attractive, plump, desirable, as of a woman; 
   • tasty, mellow, soft, as of sweet potatoes;    ",ae
holopani.net,holopani,a pain that nearly shuts off (pani) the breath. ,ni
holowai.net,holowai,water ditch or course; to run in such courses; watery. ,ai
honekakala.net,honekakala,"honeysuckle, a low, twining shrub (Lonicera japonica), from East Asia, with shortstemmed, oval leaves and fragrant tubular flowers that open white and turn yellow. ",la
kahakahana.net,kahakahana,"   • markings, scratchings, 
   • lines, stripes; 
   • narrow strip of cloth, usually white.   ",na
kahau.net,kahau,"the sport of hurling lightweight hau wood spears; to hurl such spears. lit., hurl hau wood. ",au
holoholokake.net,holoholokake,"blown, as by wind. ",ke
holomoana.net,holomoana, ,na
huhulu.net,huhulu,"bristling, tousled, as feathers, fur, body hair. ",lu
huamakani.net,huamakani,"tiny, yolkless egg. lit., wind egg. ",ni
huhuhune.net,huhuhune,"redup. of hunehune and hune₁,₂; fine, dainty; stripped of all property. ",ne
huhuna.net,huhuna,"particles, fragments. ",na
hulialana.net,hulialana,"to remove the bitterness, especially to pour off the bitter liquid and add fresh water to the preparation of arrowroot (pia). ",na
hukia.net,hukia, ,kia
holuholu.net,holuholu,flexible. ,lu
honohina.net,honohina,"wild spiderflower (Gynandropsis gynandra), a cosmopolitan tropical hairy annual weed, native to Africa, in the caper family, 30 to 90 cm high, leaves five-parted; flowers spider-like, white with a purple tinge; fruit narrow, cylindrical capsule with many seeds. ",na
huhuli.net,huhuli,"to seek, turn, of many and repeatedly. ",li
huihuini.net,huihuini, ,ni
huinawalu.net,huinawalu,octagon. ,lu
holokai.net,holokai,"seaman, seafarer; to sail on the sea; sea voyage or cruise. ",ai
hupau.net,hupau,to draw together. ,au
kahapouli.net,kahapouli,"taboo on menstruating women, restricting them to the menstruating house. lit., place of dark night. ",li
huehu.net,huehu,name of a strong northwesterly wind of the winter months. Also Kiu Inu Wai and Mālua Kiʻi Wai. ,hu
holomakani.net,holomakani,"breezy, airy. lit., wind running. ",ni
huhune.net,huhune, ,ne
hulipeua.net,hulipeua,greedy; a greedy person. ,ua
ihuanu.net,ihuanu,name of an odoriferous tree or shrub. ,nu
holohau.net,holohau,"to ice skate, ski. lit., ice run. ",au
holopeki.net,holopeki,"to trot. lit., pace (Eng.) run. ",ki
huhuhuna.net,huhuhuna, ,na
hulina.net,hulina,"   • turning, turning place, 
   • overturning,
   • reversing, 
   • frontage. ",na
kahaupalemo.net,kahaupalemo,"a lua fighting stroke. lit., the drowned blow. ",mo
holulu.net,holulu,to oppress. ,lu
honuhonu.net,honuhonu,a game in which player and opponent sat with legs crossed and tried to unseat each other; to play this game. ,nu
hopua.net,hopua, ,ua
huamailani.net,huamailani,"lit., fruit from heaven. ",ni
huikau.net,huikau,"mixed, confused, haphazard, blurred; mix-up, confusion, jumble; to mix. ",au
iwikauikaua.net,iwikauikaua,name of a star and of an ancient chief of Hawaiʻi. ,ua
kahalili.net,kahalili,sanctified stone used by at priest in ʻanāʻanā sorcery. ,li
kahekawai.net,kahekawai, ,ai
holomokuna.net,holomokuna, ,na
holopapa.net,holopapa,"   • shelf, ledge, rack, 
   • frame on which tapa and other articles were laid; 
   • flooring. ",pa
honokaona.net,honokaona,Hong Kong. ,na
huawaena.net,huawaena, ,na
hulilau.net,hulilau,"   • a variety of large gourd or calabash, used as receptacle for tapa or garments, or for food offerings. 
   • fig., a woman, mother, wife. ",au
hunakai.net,hunakai,"white-flowered beach morning-glory (Ipomea stolonifera; synonym, I. acetosaefolia), distributed in tropical regions, with oblong to lyre-shaped leaves, and white flowers with yellow centers. ",ai
ielukalema.net,ielukalema,Jerusalem. ,ma
iunipela.net,iunipela,"broom tree (RSV), juniper (KJV). (Neal 49), (1 Nal. 19.4) . ",la
hopuna.net,hopuna,"grasping, seizing, taking; arrest. ",na
huahualau.net,huahualau,"interrogation to incriminate, ensnare, or obtain information by roundabout methods, to question or quiz indirectly. ",au
hukihuki.net,hukihuki,"   • to pull or draw frequently, or by many persons; 
   • to pull by jerks or continuously, as in the tug-of-war game (see hukihuki₃); 
   • to gather, as taro; 
   • friction, dissension. (see hukihuki₂)   ",ki
ililani.net,ililani,"unexpected rain, as from a sunny sky; to rain thus. ",ni
kahapili.net,kahapili,"tangent of a circle. lit., line that touches. ",li
huipa.net,huipa,"kind of hard, black stone used for maika stones. ",pa
hulialopali.net,hulialopali,"name of a wind at Lahaina, Maui. lit., turn to the face of the cliff. ",li
ihumoe.net,ihumoe,name of a star. ,moe
hukina.net,hukina,a pulling. ,na
hukopa.net,hukopa,hyssop. ,pa
hunehune.net,hunehune,"redup. and intensification of hune₂, very fine, delicate. ",ne
iahai.net,iahai,"fast pronunciation of i aha ai, sometimes written i ahaʻi. ",ai
kahauli.net,kahauli,"a kind of ʻahi, a tuna. It is small, has a long pectoral fin, and reaches about 35 kilos in weight. lit., dark-striped. ",li
huhuhume.net,huhuhume, ,me
hualua.net,hualua, ,ua
